Altium Designer Pick and Place Locations
C:\Users\navey\Documents\Git\New_BMS\LTC2949\Project Outputs for LTC2949_TestBoard\Pick Place\Pick Place for PCB1-LTC2949-V1.csv

========================================================================================================================
File Design Information:

Date:       02-04-22
Time:       11:17
Revision:   e57f6b1feeb2992df1b735f3fecf7bf5e56b7c2a
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"C8","0805_-_Capacitor","121.5390mm","100.5840mm","121.5390mm","100.5840mm","121.5390mm","101.5090mm","TopLayer","270","Nonpolarized Capacitor"
"P3","HDR1X2","118.8720mm","75.9460mm","118.8720mm","74.6760mm","118.8720mm","74.6760mm","TopLayer","90","1x2 Header"
"J1","HDR1X3","115.9510mm","101.4730mm","118.4910mm","101.4730mm","118.4910mm","101.4730mm","TopLayer","180","1x3 Header"
"Q1","BJT_NPN_800_V_4_A_-_90_W_Through_Hole_TO-220","113.1570mm","108.7120mm","113.1330mm","108.6910mm","113.1570mm","108.7120mm","TopLayer","0","NPN"
"*","10C/W_Vertical_Heatsink_with_Pins_for_TO-220","113.0980mm","113.9080mm","113.1570mm","113.9190mm","106.7480mm","113.9080mm","TopLayer","0","Heatsink"
"T1","HM2101NLT","110.1315mm","76.1280mm","110.1090mm","76.0730mm","106.0590mm","78.7130mm","TopLayer","270","HM2101NLT"
"P10","HDR1X2","103.1240mm","64.2620mm","104.3940mm","64.2620mm","104.3940mm","64.2620mm","TopLayer","180","1x2 Header"
"C11","0805_-_Capacitor","101.8540mm","88.5190mm","101.8540mm","88.5190mm","102.7790mm","88.5190mm","TopLayer","180","Nonpolarized Capacitor"
"C10","0805_-_Capacitor","101.8540mm","93.9800mm","101.8540mm","93.9800mm","102.7790mm","93.9800mm","TopLayer","180","Nonpolarized Capacitor"
"R15","0603_-_Resistor","100.2030mm","107.1880mm","100.2030mm","107.1880mm","101.0280mm","107.1880mm","TopLayer","180","Resistor"
"D1","BZD27C_-_ZENER_DIODES","99.4300mm","104.0040mm","99.4410mm","104.0130mm","97.8933mm","104.0040mm","TopLayer","0","Zener"
